Item,Material,Recyclable,Reuse Ideas,Compostable
Plastic Bottle,PET Plastic,Yes,"Make a planter, Bird feeder, Water sprinkler",No
Glass Bottle,Glass,Yes,"Flower vase, Storage container",No
Banana Peel,Organic Waste,No,"Compost, Fertilizer",Yes
Aluminum Can,Aluminum,Yes,"Pen holder, Mini plant pot",No
Cardboard,Paper,Yes,"Storage box, DIY crafts",No
Egg Shell,Organic Waste,No,"Garden fertilizer",Yes
Plastic Bag,Plastic,Depends,"Eco bricks, Trash liners",No
Tin Can,Metal,Yes,"Lantern, Pencil holder",No
Newspaper,Paper,Yes,"Gift wrapping, Cleaning glass",No
Coffee Grounds,Organic Waste,No,"Compost, Odor remover",Yes